CAL_Wip_ID,CG_Avg
48-12 CK,
CR,
CR 10,
CR 13,
Durham,
Hartley,
Forde,
Howard,
Ivanhoe,
PI159568,
R. livermore,
Serr,
Solano,
Sunland,
Tulare,
Vina,
K 35,
MS1-1,2.6
MS1-3,3
MS1-4,
MS1-7,3.2
MS1-8,2.8
MS1-12,3.25
MS1-14,1.55
MS1-15,2.25
MS1-18,
MS1-19,2.5
MS1-21,3.7
MS1-24,1
MS1-26,1.8
MS1-27,2.9075
MS1-28,2.4
MS1-29,
MS1-31,2.27166666666667
MS1-32,2.6
MS1-33,2.18333333333333
MS1-36,1.5
MS1-38,1.8
MS1-39,
MS1-41,2.13333333333333
MS1-43,1
MS1-44,2.05
MS1-45,
MS1-48,3.55
MS1-49,1.4
MS1-50,2
MS1-51,2.47166666666667
MS1-52,
MS1-53,
MS1-55,1.46666666666667
MS1-56,1.075
MS1-62,2.8
MS1-63,1.3
MS1-65,2.4
MS1-68,1
MS1-69,
MS1-71,3.7
MS1-72,3.65
MS1-73,1.36666666666667
MS1-77,
MS1-84,1
MS1-85,1
MS1-86,3.6
MS1-87,3.55
MS1-89,3.4
MS1-90,3.9
MS1-93,1
MS1-94,3.35
MS1-95,3.1
MS1-96,2.8
MS1-97,3.4
MS1-98,
MS1-99,2.346
MS1-102,2
MS1-103,2.9
MS1-105,1.7
MS1-106,1
MS1-107,
MS1-113,
MS1-114,
MS1-117,3
MS1-119,3.8
MS1-120,
MS1-122,3.3
MS1-125,2.95
MS1-126,1
MS1-127,1.23333333333333
MS1-128,2.13333333333333
MS1-129,1
MS1-130,3.35
MS1-132,3.4
MS1-133,
MS1-138,3.6
RX032,
S 1,
S 2,4
S 8,
S 10,
S 13,
S 15,
S 16,
S 21,
S 26,3.3
S 32,
S 35,
S 38,
S 39,
S 40,
S 41,
S 42,
S 45,
S 49,
S 54,
S 55,
S 59,
S 61,
S 64,3.9
SBB7,4
SC1,
SC5,3.8
SM1,2.8
SM2,
SM4,
SM5,2
STJM4,2.7675
STJM6,
STJM7,
STJM11,2.9
TB3,2
TB4,3.5
TB5,1.03333333333333
TB6,
TB7,3.6
TB8,3.8
TB10,
TB11,3.1
TB12,3.6
TB13,1.7
TB16,
TB18,1.03333333333333
TB19,3.1
TB21,3.5
TB22,4
TB23,
TB24,1
TB26,3.9
TB28,3.2
TB31,
TB32,
TB33,1.35
TB34,3.7
TB35,2.9
TB36,3.4
TB37,3.3
TB38,2.7
TB39,3
TB40,2.8
TB42,2.1
TB44,3.6
TB45,
TB46,1.75666666666667
TB47,3.5
TB48,3.4
TB49,3.2
TB50,3.9
TB51,
TB52,1
TB57,1
TB58,
TB59,
TB60,
TB61,2.65
TB62,3.8
TB63,1
TB65,2.8
TB66,3.7
TB67,
TB68,3
TB69,2.93333333333333
TB70,3.5
TB71,1.05
TB73,3.9
TB75,
TB76,1
TB78,3.4
TB79,1.5
TB80,
TB82,2
TB83,3.8
TB86,2.8
TB87,4
TB88,1.46666666666667
TB90,2.0425
TB91,3.5
TB92,3
TB94,
TB95,3.9
TB96,
TB97,3.3
TB99,3.1
TB100,3.4
TB101,
TB102,2.1
TB104,
TB105,1.1
TB108,1
TB109,4
TB111,
TB112,1.88333333333333
TB115,
TB120,1
TG9 ,3.1
TG11,2.9
TG17,3.6
TG24,3.3
TG29,2.2
TG37,1
TG47,2.9
TP1,3.7
TP3,4
TP4,4
TP7,3.5
TQ11,
J1-1A,1.05
J1-19A,
J1-20A,
J1 control,
L-33,2.6
L-194,
L-J,
RR4-1A,
RR4-2B,
RR4-4A,
RR4-6C,
RR4-8A,
RR4-10A,
RR4-11A,
RR4-12A,
RR4-control,
RR4 DS Red 17-1-3,
RR4 DS Red 17-4-3,
RR4 DS Red 30-2-2,
RR4 DS Red 67-2-2,
RR4 DS Red 67-2-3,
BS 1,
BS 4,
BS 6,
BS 8,
BS 9,
OP 9,
OP 65,
OP 67,
EA 51,
,
,
