CAL_Wip_ID,genotype,Female_Parent,length_2Y,RLN_2Y,length_3Y,RLN_3Y,Over_length_3Y,Over_RLN_3Y
48-12 CK,,,,,,,,
CR,,,,,,,,
CR 10,,,,,,,,
CR 13,,,,,,,,
Durham,,,,,,,,
Hartley,,,,,,,,
Forde,,,,,,,,
Howard,,,,,,,,
Ivanhoe,,,,,,,,
PI159568,,,,,,,,
R. livermore,,,,,,,,
Serr,SERR,,30,5.7,,,,
Solano,,,,,,,,
Sunland,,,,,,,,
Tulare,,,,,,,,
Vina,,,,,,,,
AC 431,AC431,31.01,,37.06,72.25,59.7,,
AC 432,,31.01,,,,,,
AC 434,AC 434,31.01,113.6,4.2625,154,69.8,,
AC 436,AC 436,31.01,70.7,0.4375,95.4,13.1,,
AC 437,AC 437,31.01,122.3,16.8625,150.7,180.7,,
AC 438,AC438,31.01,,21.64,68.38,57.4,,
AC 439,,31.01,,,,,,
AC 442,AC 442,31.01,129.4,6.0375,168.8,162.6,,
AC 443,AC443,31.01,,89.48,116.75,83.5,,
AC 446,AC446,31.01,,11.68,134,169.6,,
AC 447,,31.01,,,,,,
AC 448,AC448,31.01,,21.63,161.3,178.9,122.58,468.1
AC 449,,31.01,,,,,,
AC 452,AC452,31.01,,71.48,110,127.8,,
AC 453,AC 453,31.01,137.8,2.2125,181.7,36.8,,
AC 454,AC 454,31.01,130.3,45.3875,170.8,76.3,,
AC 457,AC 457,31.01,70.1,2.225,120,27.9,,
AC 458,AC458,31.01,,10.9,106.42,75.8,,
AC 466,AC466,31.01,,178.55,25.71,196.7,,
AC 468,AC468,31.01,,5.38,53,15.9,,
AC 469,AC 469,31.01,105.7,49.9625,140.4,141.6,,
AC 470,,31.01,,,,,,
AC 471,AC 471,31.01,47,0.15,70.8,28.7,,
AC 472,AC472,31.01,,19.05,187.3,132.8,117.5,613.6
AC 473,AC 473,31.01,122.5,5.3,168.3,36.5,,
AC 475,AC 475,31.01,129.1,0.166666667,177.8,94,,
AC 476,,31.01,,,,,,
AC 480,AC 480,31.01,26,1.866666667,32.2,9.7,,
AC 481,,31.01,,,,,,
AC 482,AC482,31.01,,32.94,116,175,,
AC483,AC483,31.01,,8.52,82.25,13.6,,
AC 486,AC 486,31.01,123,27.4375,167.8,235.3,,
AC 487,AC487,31.01,,89.64,84.67,261.1,,
AC 490,,31.01,,,,,,
AC 491,,31.01,,,,,,
AC 492,AC 492,31.01,115.7,22.7875,155.5,38.9,,
AC 494,AC494,31.01,,90.56,116.67,254.1,,
AC 495,AC495,31.01,,51.6,182.7,92.7,101.33,103.8
AC 497,AC 497,31.01,66.7,4.75,85,136.2,,
AC 498,AC 498,31.01,74.3,0.316666667,92.5,29.5,,
AC 504,AC504,31.01,,40.03,82.63,455.4,,
AC 506,AC506,31.01,,53.63,44.42,40.7,,
AC 507,AC507,31.01,,131.31,125.25,289.3,,
AC 508,AC 508,31.01,100.8,13.75,142,96.3,,
AC 510,AC 510,31.01,66,31.53333333,91.3,70.7,,
AC 511,,31.01,,,,,,
